country	indicator	date	year_week	value	source	url
Cyprus	Daily hospital occupancy	25-04-2020	2020-W17	33	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	26-04-2020	2020-W17	30	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	27-04-2020	2020-W18	29	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	28-04-2020	2020-W18	26	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	29-04-2020	2020-W18	27	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	30-04-2020	2020-W18	25	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	01-05-2020	2020-W18	24	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	02-05-2020	2020-W18	24	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	03-05-2020	2020-W18	23	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	04-05-2020	2020-W19	22	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	05-05-2020	2020-W19	24	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	06-05-2020	2020-W19	23	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	07-05-2020	2020-W19	19	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	08-05-2020	2020-W19	19	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	09-05-2020	2020-W19	19	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	10-05-2020	2020-W19	20	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	11-05-2020	2020-W20	22	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	12-05-2020	2020-W20	15	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	13-05-2020	2020-W20	12	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	14-05-2020	2020-W20	10	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	15-05-2020	2020-W20	9	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	16-05-2020	2020-W20	8	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	17-05-2020	2020-W20	8	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	18-05-2020	2020-W21	8	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	19-05-2020	2020-W21	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	20-05-2020	2020-W21	9	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	21-05-2020	2020-W21	8	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	22-05-2020	2020-W21	9	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	23-05-2020	2020-W21	9	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	24-05-2020	2020-W21	8	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	25-05-2020	2020-W22	8	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	26-05-2020	2020-W22	9	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	27-05-2020	2020-W22	8	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	28-05-2020	2020-W22	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	29-05-2020	2020-W22	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	30-05-2020	2020-W22	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	31-05-2020	2020-W22	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	01-06-2020	2020-W23	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	02-06-2020	2020-W23	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	03-06-2020	2020-W23	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	04-06-2020	2020-W23	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	05-06-2020	2020-W23	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	06-06-2020	2020-W23	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	07-06-2020	2020-W23	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	08-06-2020	2020-W24	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	09-06-2020	2020-W24	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	10-06-2020	2020-W24	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	11-06-2020	2020-W24	4	Country_Website	https://www.data.gov.cy/search/type/dataset
